adduct,mz,rt,name
,133.0648,6.46,TRANS-CINNAMALDEHYDE
M+H,149.0597,9.21,TRANS-CINNAMATE
M+H-H2O,131.0491,9.21,TRANS-CINNAMATE-H2O
M+Na,139.073,5.15,"TRANS-CYCLOHEXANE-1,2-DIOL"
,372.1584,8.44,TRAZODONE
M+H-H2O,325.1129,0.74,TREHALOSE-H2O
M+Na,365.1054,0.74,TREHALOSE+Na
,150.11229,0.74,TRIETHANOLAMINE
,183.07794,7.75,TRIETHYLPHOSPHATE
M+H,138.055,0.87,TRIGONELLINE
M+K,176.0108,0.87,TRIGONELLINE+K
M+Na,160.0369,0.87,TRIGONELLINE+Na
,331.24756,12.75,Trihydroxy octadecenoic acid
M+H,189.1598,0.67,TRIMETHYLLYSINE
M+H,189.1598,0.78,TRIMETHYLLYSINE
M+K,227.1156,0.67,TRIMETHYLLYSINE+K
M+Na,211.1417,0.67,TRIMETHYLLYSINE+Na
M+H,161.1073,6.71,TRYPTAMINE
M+H-NH3,144.0808,6.71,TRYPTAMINE-NH3
M+H,138.0913,4.09,TYRAMINE
M+H-NH3,121.0648,4.09,TYRAMINE-NH3
M+H,139.07576,12.97,TYROSOL
M+H,113.0346,1.31,URACIL
M+Na,135.0165,1.31,URACIL+Na
M+H,169.03562,1.81,URATE
M+H,147.0764,1.84,UREIDOISOBUTRYATE
M+H,245.0768,2.77,URIDINE
M+H,608.0888,1.1,URIDINE 5'-DIPHOSPHO-N-ACETYLGALACTOSAMINE
M+Na,630.0708,1.1,URIDINE 5'-DIPHOSPHO-N-ACETYLGLUCOSAMINE
M+H,325.04314,1.25,URIDINE-5-MONOPHOSPHATE
M+Na,267.0588,2.77,URIDINE+Na
M+H,139.0502,1.86,UROCANATE
M+H-H2O,121.0396,1.86,UROCANATE-H2O
M+Na,161.0321,1.86,UROCANATE+Na
M+Na,431.2768,8.88,URSOCHOLIC ACID
M+H-2H2O,357.2777,10.09,URSODEOXYCHOLIC ACID-2H2O
M+H-H2O,375.2883,10.09,URSODEOXYCHOLIC ACID-H2O
M+H-H2O,375.2894,10.09,URSODEOXYCHOLIC ACID-H2O
M+H,246.17,6.83,VALERYLCARNITINE
M+Na,268.1519,6.83,VALERYLCARNITINE+Na
,137.0596,4.53,VANILLAMINE
M+H,153.0546,7.47,VANILLIN
M+H,153.0407,2.44,XANTHINE
M+H,285.083,5.51,XANTHOSINE
,365.0493,2.34,XANTHOSINE 5'-MONOPHOSPHATE
M+Na,307.0649,5.51,XANTHOSINE+Na
M+H,206.0448,6.23,XANTHURENIC ACID
M+Na,228.0267,6.23,XANTHURENIC ACID+Na
M+H,153.0757,0.7,XYLITOL
M+H-H2O,135.0652,0.7,XYLITOL-H2O
M+Na,175.0577,0.7,XYLITOL+Na
