adduct,mz,rt,name
M+H,127.03875,0.71,5-Hydroxymethyl-2-furaldehyde
M+H,143.0451,1.3,5-HYDROXYMETHYLURACIL
M+H-H2O,125.0346,1.3,5-HYDROXYMETHYLURACIL-H2O
M+Na,165.0271,1.3,5-HYDROXYMETHYLURACIL+Na
M+H,126.0662,1.06,5-METHYLCYTOSINE HYDROCLORIDE
M+K,164.0221,1.06,5-METHYLCYTOSINE HYDROCLORIDE+K
M+Na,148.0481,1.06,5-METHYLCYTOSINE HYDROCLORIDE+Na
M+H,130.0499,1.73,5-OXO-D-PROLINE
M+Na,152.0318,1.73,5-OXO-D-PROLINE+Na
M+H,101.0597,7.04,5-VALEROLACTONE
M+H,101.0597,3.92,5-VALEROLACTONE
M+H,115.0502,1.24,"5,6-DIHYDROURACIL"
M+H,252.1091,5.56,5'-DEOXYADENOSINE
M+Na,274.0911,5.56,5'-DEOXYADENOSINE+Na
M+H,298.0968,6.12,5'-METHYLTHIOADENOSINE
M+Na,320.0788,6.12,5'-METHYLTHIOADENOSINE+Na
M+H,161.0808,6.54,6-CARBOXYHEXANOATE
M+H-H2O,143.0703,6.54,6-CARBOXYHEXANOATE-H2O
M+Na,183.0628,6.54,6-CARBOXYHEXANOATE+Na
M+Na,187.0577,0.86,6-DEOXY-HEXOSE+Na
M+H-H2O,147.0652,0.83,6-DEOXY-L-GALACTOSE-H2O
M+K,203.0316,0.83,6-DEOXY-L-GALACTOSE+K
M+Na,187.0577,0.83,6-DEOXY-L-GALACTOSE+Na
M+H-NH3,153.0546,5.39,6-HYDROXYDOPAMINE-NH3
M+H,140.0342,3.96,6-HYDROXYNICOTINATE
M+Na,162.0162,3.96,6-HYDROXYNICOTINATE+Na
M+H,277.0319,0.72,6-PHOSPHOGLUCONIC ACID
M+H,174.05473,6.55,6-QUINOLINCARBOXYLIC ACID
,205.0683,0.71,6C-SUGAR ALCOHOL
M+H,225.09879,6.43,7-(b-HYDROXYETHYL)THEOPHYLLINE
M+H,431.3156,11.81,7-hydroxy-3-oxo-4-cholestenoic acid
M+Na,453.2975,11.81,7-hydroxy-3-oxo-4-cholestenoic acid+Na
M+H,391.2843,10.48,7-KETOCHENODEOXYCHOLIC ACID
M+H-H2O,373.2737,10.48,7-KETOCHENODEOXYCHOLIC ACID-water
M+H-H2O,373.2737,9.34,7-KETOCHENODEOXYCHOLIC ACID-water
M+H,407.2792,9.36,7-KETODEOXYCHOLIC ACID
M+H-H2O,389.2686,9.36,7-KETODEOXYCHOLIC ACID-water
M+Na,429.2611,9.36,7-KETODEOXYCHOLIC ACID+Na
M+H,147.02937,1.24,a-KETOGLUTARATE
M+H,103.039,1.93,ACETOACETATE
M+Na,125.0209,1.93,ACETOACETATE+Na
M+H,152.0711,7.64,ACETOMINOPHEN
M+H-H2O,186.1125,3.57,ACETYL-L-CARNITINE-H2O
M+H,148.0604,0.79,ACETYL-L-SERINE
M+H-H2O,130.0499,0.79,ACETYL-L-SERINE-H2O
M+H-NH3,131.0339,0.79,ACETYL-L-SERINE-NH3
M+K,186.0163,0.79,ACETYL-L-SERINE+K
M+Na,170.0424,0.79,ACETYL-L-SERINE+Na
M+H,217.1295,1.5,ACETYLARGININE
M+H,204.1232,3.57,ACETYLCARNITINE
,207.1414,3.57,ACETYLCARNITINE (N-methyl-D3)
M+Na,226.105,3.57,ACETYLCARNITINE+Na
M-e,146.1176,2.3,ACETYLCHOLINE
M+H,218.1135,2.13,ACETYLCITRULLINE
M+H,208.097,7.24,ACETYLPHENYLALANINE
M+H,248.1498,4.75,ACYL-CARNITINE(4-OH)
M+H,262.1649,5.56,ACYL-CARNITINE(5-OH)
M+H,136.0618,1.53,ADENINE
M+H-NH3,119.0352,1.53,ADENINE-NH3
M+K,174.0177,1.53,ADENINE+K
M+Na,158.0437,1.53,ADENINE+Na
M+H,268.104,5.02,ADENOSINE
M+H,330.0598,3.42,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE"
